Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
7452,McCabes Pharmacy,Unit 5 The Crescent Shopping Centre,,,Dooradoyle,Co. Limerick,Wembar Company,,"Unit 5 The Crescent Shopping Centre
Dooradoyle, Co. Limerick"
7453,McCabes Pharmacy,Units 6-8,Citywest Shopping Centre,,Citywest,Dublin 24,Wembar Company,,"Units 6-8
Citywest Shopping Centre
Citywest, Dublin 24"
7454,McCabes Pharmacy,"Level 3, Units 17-19",Dundrum Town Centre,,Dundrum,Dublin 16,Wembar Company,,"Level 3, Units 17-19
Dundrum Town Centre
Dundrum, Dublin 16"
7455,McCabe's Pharmacy ,69 Main Street,,,Gorey,Co. Wexford,McCauley's Pharmacy Unlimited,,"69 Main Street
Gorey, Co. Wexford"
7457,Walsh's Pharmacy,Units 1-2 Corrib Centre,Eyre Square,,Galway City,Co. Galway,Curam Slainte Teoranta,,"Units 1-2 Corrib Centre
Eyre Square
Galway City, Co. Galway"
7459,Keane's CarePlus Pharmacy,1 Enfield Court,Johnstown Road,,Enfield,Co. Meath,A & S Healthcare Limited,,"1 Enfield Court
Johnstown Road
Enfield, Co. Meath"
7460,Newtown Pharmacy,Glengarriff Road,,,Bantry,Co. Cork,Fane Healthcare Limited,,"Glengarriff Road
Bantry, Co. Cork"
7461,Coen's Pharmacy,Wolfe Tone Square,,,Bantry,Co. Cork,Fane Healthcare Limited,,"Wolfe Tone Square
Bantry, Co. Cork"
7462,McCauley Health & Beauty Pharmacy,30-31 ,High Street,,Kilkenny,Co. Kilkenny,Sam McCauley Chemists (Kilkenny) Limited,,"30-31 
High Street
Kilkenny, Co. Kilkenny"
7463,Donnelly's Pharmacy Limited,Unit 3 Kingsford Cross,Strand Road,,Portmarnock,Co. Dublin,Donnelly's Pharmacy Limited,,"Unit 3 Kingsford Cross
Strand Road
Portmarnock, Co. Dublin"
7464,Vista Pharmacy,Vista Primary Care,Ballymore Eustace Road,,Naas,Co. Kildare,The Pharmacy at Vista Primary Care,,"Vista Primary Care
Ballymore Eustace Road
Naas, Co. Kildare"
7467,Conlon's Chemist,Unit 5,Main Street,,Athleague,Co. Roscommon,L & M Pharmacy Limited,,"Unit 5
Main Street
Athleague, Co. Roscommon"
7468,"H.S.E. Pharmacy, St. Camillus Hospital",Shelbourne Road,,,Limerick,Co. Limerick,Health Service Executive,,"Shelbourne Road
Limerick, Co. Limerick"
7469,Mulligan's Chemist (Smithsland) Ltd,"Unit 2, Ground Floor","Block B, The Smithsland Centre",,Kilkenny,Co. Kilkenny,Mulligans Chemists (Smithsland) Limited,,"Unit 2, Ground Floor
Block B, The Smithsland Centre
Kilkenny, Co. Kilkenny"
7472,Duffy's Pharmacy,The Square,,,Tuam,Co. Galway,Duffmin Limited,,"The Square
Tuam, Co. Galway"
7473,Conway's Pharmacy,93 Swords Road,,,Whitehall,Dublin 9,Conway's Pharmacy Limited,,"93 Swords Road
Whitehall, Dublin 9"
7474,Concannon's totalhealth Pharmacy,Supervalu Centre,Ballymahon Road,,Athlone,Co. Westmeath,Midlands Pharmacy Limited,,"Supervalu Centre
Ballymahon Road
Athlone, Co. Westmeath"
7475,McManus Pharmacy,Main Street,,,Clara,Co. Offaly,B McManus Pharmacy Limited,,"Main Street
Clara, Co. Offaly"
7477,Shankill Pharmacy,Violet House,Main Street,,Shankill,Co. Dublin,RDS Health Limited,,"Violet House
Main Street
Shankill, Co. Dublin"
7479,Chemist Connect,5 Devlin Complex,,,Bridgend,Co. Donegal,Genesis Health Solutions Limited,F93 K03Y,"5 Devlin Complex
Bridgend, Co. Donegal F93 K03Y"
7482,Clarinbridge Pharmacy Limited,The Bridge Centre,,,Clarinbridge,Co. Galway,Clarinbridge Pharmacy Limited,,"The Bridge Centre
Clarinbridge, Co. Galway"
7483,Clancy's Pharmacy,4 College Way,Kilcock Road,,Clane,Co. Kildare,Clancy's Pharmacy Limited,,"4 College Way
Kilcock Road
Clane, Co. Kildare"
7484,Milltown totalhealth Pharmacy,"Unit 2, Milltown Shopping Centre",,,Milltown,Dublin 6,Milltown Pharmacy Limited,,"Unit 2, Milltown Shopping Centre
Milltown, Dublin 6"
7485,"Guide Pharmacy, St James Hospital",Hospital 5,St. James Hospital,,,Dublin 8,St. James Hospital Board,,"Hospital 5
St. James Hospital
Dublin 8"
7487,Inchicore Pharmacy,205C & 207 ,Emmet Road,,Inchicore,Dublin 8,PRJS Pharmacy Limited,,"205C & 207 
Emmet Road
Inchicore, Dublin 8"
7490,Farrell's Pharmacy Trim Limited,Finnegan's Way,,,Trim,Co. Meath,Farrell's Pharmacy Trim Limited,,"Finnegan's Way
Trim, Co. Meath"
7492,"McCartan's Pharmacy, Maynooth",Unit 30B Carton Park,Tesco Shopping Centre,,Maynooth,Co. Kildare,Ronfar Limited,,"Unit 30B Carton Park
Tesco Shopping Centre
Maynooth, Co. Kildare"
7493,Cong Pharmacy,Abbey Street,,,Cong,Co. Mayo,King Kong Medical Limited,,"Abbey Street
Cong, Co. Mayo"
7494,Keating's CarePlus Pharmacy,Lord Edward Street,,,Kilmallock,Co. Limerick,Ballyneety Pharmacy Limited,,"Lord Edward Street
Kilmallock, Co. Limerick"
7495,McCabes Pharmacy,"Unit D1 Ab, Gulliver's Neighhourhood Centre",Northwood,,Santry,Dublin 9,Wembar Company,,"Unit D1 Ab, Gulliver's Neighhourhood Centre
Northwood
Santry, Dublin 9"
7496,Chemco Pharmacy,Supervalu Shopping Centre,,,Bunclody,Co. Wexford,Duelchem Limited,,"Supervalu Shopping Centre
Bunclody, Co. Wexford"
7497,Chemco Pharmacy,Supervalu Shopping Centre,,,Stradbally,Co. Laois,Duelchem Limited,,"Supervalu Shopping Centre
Stradbally, Co. Laois"
7498,Chemco Pharmacy,The Medical Centre,St. Coman's Park,,Roscommon,Co. Roscommon,Duelchem Limited,,"The Medical Centre
St. Coman's Park
Roscommon, Co. Roscommon"
7499,Chemco Pharmacy,Supervalu (Sandhills) Shopping Centre,Hackettstown Road,,Carlow Town,Co. Carlow,Duelchem Limited,,"Supervalu (Sandhills) Shopping Centre
Hackettstown Road
Carlow Town, Co. Carlow"
7500,Kieran's totalhealth Pharmacy,Main Street,,,Mohill,Co. Leitrim,BRENCOPHARM LTD,,"Main Street
Mohill, Co. Leitrim"
7501,Kieran's totalhealth Pharmacy,Main Street,,,Carrick-on-Shannon,Co. Leitrim,BRENCOPHARM LTD,,"Main Street
Carrick-on-Shannon, Co. Leitrim"
7502,Lucan Village Pharmacy,4 Main Street,,,Lucan,Co. Dublin,Ballard Pharmakon Limited,,"4 Main Street
Lucan, Co. Dublin"
7503,Quigley's Pharmacy,20 Main Street,,,Blackrock,Co. Dublin,Quigley Pharmacy Limited,,"20 Main Street
Blackrock, Co. Dublin"
7504,McNally's Pharmacy 365 (Carlanstown),Main Street,Carlanstown,,Kells,Co. Meath,Carlanstown Pharmacy 365 LTD,,"Main Street
Carlanstown
Kells, Co. Meath"
7506,McKeever's Chemists,Main Street,,,Castleblayney,Co. Monaghan,PA McKeever Roi Limited,,"Main Street
Castleblayney, Co. Monaghan"
7507,O'Riordan's Pharmacy,Main Street,,,Enniskeane,Co. Cork,Enniskeane Pharmacy Limited,P47 DD34,"Main Street
Enniskeane, Co. Cork P47 DD34"
7508,McNally's Pharmacy 365,Lower Main Street,,,Duleek,Co. Meath,Urcher Stores Limited,,"Lower Main Street
Duleek, Co. Meath"
7509,Oola Pharmacy,Kylemore Centre,Main Street,,Oola,Co. Limerick,Ulla Slainte LTD,,"Kylemore Centre
Main Street
Oola, Co. Limerick"
7511,Allcare Pharmacy,13 New Street,,,Killarney,Co. Kerry,Willms Pharmacy Limited,,"13 New Street
Killarney, Co. Kerry"
7512,"Whelan's Pharmacy, Cill Dara",Cill Dara Primary Care Centre,Dublin Road,,Kildare Town,Co. Kildare,Apple Blossom Pharmacy Ltd,,"Cill Dara Primary Care Centre
Dublin Road
Kildare Town, Co. Kildare"
7513,T. N. Feerick & Company Limited,Main Street,,,Cappoquin,Co. Waterford,T. N. Feerick & Company Limited,P51 W7XD,"Main Street
Cappoquin, Co. Waterford P51 W7XD"
7514,B. MacEneaney Limited,42 High Street,,,Kilkenny,Co. Kilkenny,B MacEneaney Limited,,"42 High Street
Kilkenny, Co. Kilkenny"
7515,Mark Ellis Pharmacy,Units 8 - 9,Springfield Shopping Centre,,Tallaght,Dublin 24,Prima Pharmacies Ltd,,"Units 8 - 9
Springfield Shopping Centre
Tallaght, Dublin 24"
7516,Mark Ellis Pharmacy,Units 1-2,"Woodstown Shopping Centre, Ballycullen Road",,Knocklyon,Dublin 16,Ballycullen Pharmacy Ltd.,,"Units 1-2
Woodstown Shopping Centre, Ballycullen Road
Knocklyon, Dublin 16"
7518,McCabes Pharmacy,Unit 1,Station Road,,Lusk,Co. Dublin,Wembar Company,,"Unit 1
Station Road
Lusk, Co. Dublin"
7519,McCabes Pharmacy,"Unit 1, Veronica House","Skerries Corner, Lower Main Street",,Rush,Co. Dublin,Wembar Company,,"Unit 1, Veronica House
Skerries Corner, Lower Main Street
Rush, Co. Dublin"
7520,CHC Pharmacy,Charleville Primary Care Healthcare Centre,Rathgoggin South,,Charleville,Co. Cork,GNDR Pharmacy LTD,,"Charleville Primary Care Healthcare Centre
Rathgoggin South
Charleville, Co. Cork"
7521,Tullys totalhealth Pharmacy,Main Street,,,Castlerea,Co. Roscommon,Tullys Pharmacy (Castlerea) Limited,,"Main Street
Castlerea, Co. Roscommon"
7522,Harbour Pharmacy Limited,The Harbour,,,Kilcock,Co. Kildare,Harbour Pharmacy Limited,,"The Harbour
Kilcock, Co. Kildare"
7523,Molloys Lifestyle Pharmacy,Shangort,,,Knocknacarra,Co. Galway,Juldar Limited,,"Shangort
Knocknacarra, Co. Galway"
7524,Declan Hickey Chemists Limited,1 St. John's Square,,,Limerick City,Co. Limerick,Declan Hickey Chemists Limited,V94 RK8V,"1 St. John's Square
Limerick City, Co. Limerick V94 RK8V"
7525,Ballisodare Pharmacy,Unit 52,Ballisodare Town Centre,,Ballisodare,Co. Sligo,Enda Lannon Limited,,"Unit 52
Ballisodare Town Centre
Ballisodare, Co. Sligo"
7526,Lannon Late Night Pharmacy,C/o Cannings Spar,Pearse Road,,Sligo Town,Co. Sligo,Enda Lannon Limited,,"C/o Cannings Spar
Pearse Road
Sligo Town, Co. Sligo"
7527,Fairgreen CarePlus Pharmacy,Church Road,,,Bagenalstown,Co. Carlow,Healy's Pharmacy Limited ,,"Church Road
Bagenalstown, Co. Carlow"
7529,Frederick Pharmacy,19 North Frederick Street,,,,Dublin 1,Frederick Pharmacy Limited,,"19 North Frederick Street
Dublin 1"
7530,Halley's CarePlus Pharmacy,Station Road,,,Adare,Co. Limerick,Beal Healthcare Limited,,"Station Road
Adare, Co. Limerick"
7531,Wicklow CarePlus Pharmacy,Unit 5 & 6,Supervalu Centre,,Wicklow Town,Co. Wicklow,McGrath & Connolly Limited,,"Unit 5 & 6
Supervalu Centre
Wicklow Town, Co. Wicklow"
7532,Ferrybank CarePlus Pharmacy,"Unit 1, Ferrybank Mall",Ferrybank,,Arklow,Co. Wicklow,Ferrybank Pharmacy Limited,,"Unit 1, Ferrybank Mall
Ferrybank
Arklow, Co. Wicklow"
7533,O'Sullivan's Pharmacy,25 Bank Place,,,Mallow,Co. Cork,Blackwater Pharmacy Ltd.,,"25 Bank Place
Mallow, Co. Cork"
7534,Keady's Pharmacy Limited,The Square ,,,Headford ,Co. Galway,Keady's Pharmacy Limited,,"The Square 
Headford , Co. Galway"
7536,Mahers totalhealth Chemist ,105 West Street,,,Drogheda,Co. Louth,Mahers Chemist Limited,,"105 West Street
Drogheda, Co. Louth"
7537,Medwell Allcare Pharmacy,Tuam Shopping Centre,Abbeytrinity,,Tuam,Co. Galway,O & B Pharmacy Limited,,"Tuam Shopping Centre
Abbeytrinity
Tuam, Co. Galway"
7538,Manor Pharmacy,21 Manor Street,,,Stoneybatter,Dublin 7,Corroy Pharmaceuticals Ltd,,"21 Manor Street
Stoneybatter, Dublin 7"
7539,Ballyfermot Pharmacy,Unit 3,Tesco Shopping Centre,,Ballyfermot,Dublin 10,Ballyfermot Pharmacy Limited,,"Unit 3
Tesco Shopping Centre
Ballyfermot, Dublin 10"
7540,McSweeney Pharmacy Limited,Clybaun Road,Knocknacarra,,Galway City,Co. Galway,McSweeney Pharmacy Ltd.,H91 R799,"Clybaun Road
Knocknacarra
Galway City, Co. Galway H91 R799"
7543,Abbey Allcare Pharmacy,Lord Edward Street,,,Kilmallock,Co. Limerick,Gladsham Trading Ltd,,"Lord Edward Street
Kilmallock, Co. Limerick"
7545,Blake's Allcare Pharmacy,Main Street,,,Celbridge,Co. Kildare,Levinwick Limited,,"Main Street
Celbridge, Co. Kildare"
7552,O'Carroll's Allcare Pharmacy,Orchard Court,,,Blackpool,Co. Cork,M.O'Carroll Pharmacy (Cork) Limited,,"Orchard Court
Blackpool, Co. Cork"
7553,Pettit's Allcare Pharmacy,The Square,,,Clara,Co. Offaly,Blue Cross Engineering Limited,,"The Square
Clara, Co. Offaly"
7559,Plaza Pharmacy,Unit 2,The Plaza,,Swords,Co. Dublin,B M Pharmacy Limited,,"Unit 2
The Plaza
Swords, Co. Dublin"
7562,Mulvey's Pharmacy ,Main Street,,,Dundrum,Dublin 16,Dundrum Pharmacy Limited ,,"Main Street
Dundrum, Dublin 16"
7563,McGorisk's Pharmacy ,Unit 53,Town Centre,,Athlone,Co. Westmeath,ATC Pharmacy Ltd.,,"Unit 53
Town Centre
Athlone, Co. Westmeath"
7564,Smyth's Life Pharmacy,Seatown Place,,,Dundalk,Co. Louth,Ronaldway Limited,,"Seatown Place
Dundalk, Co. Louth"
7566,O'Connor's Pharmacy Douglas,Units 21- 23,Douglas Village Shopping Centre,,"Douglas, Cork",Co. Cork,O'Connor Pharmacy (Cork) Limited,T12 R27H,"Units 21- 23
Douglas Village Shopping Centre
Douglas, Cork, Co. Cork T12 R27H"
7567,McCormacks Pharmacy ,Arden Road,,,Tullamore,Co. Offaly,Tullamore Pharmacy (Arden Rd) Limited,,"Arden Road
Tullamore, Co. Offaly"
7568,Trim Pharmacy Limited,Market Street,,,Trim,Co. Meath,Trim Pharmacy Limited,,"Market Street
Trim, Co. Meath"
7569,Molloys Lifestyle Pharmacy,Achill Sound,,,Achill,Co. Mayo,Corpear Limited,,"Achill Sound
Achill, Co. Mayo"
7571,Scannell's Pharmacy,16 South Main Street,,,Bandon,Co. Cork,Scannell's Pharmacy Limited,,"16 South Main Street
Bandon, Co. Cork"
7572,O'Connell's Medical Hall Limited,Main Street,,,Swinford,Co. Mayo,O'Connells Medical Hall Limited,,"Main Street
Swinford, Co. Mayo"
7574,Dennehy's Cross Pharmacy,Wilton Road,,,Bishopstown,Co. Cork,Wallace's Pharmacy (Dennehy's Cross) Limited,,"Wilton Road
Bishopstown, Co. Cork"
7576,Haven Pharmacy Duleek,5 Main Street,,,Duleek,Co. Meath,Olive Maher Limited,,"5 Main Street
Duleek, Co. Meath"
7577,The Family Pharmacy,Mill Street,,,Tullow,Co. Carlow,Inis Cathaigh Retail Ltd,,"Mill Street
Tullow, Co. Carlow"
7578,Pure Pharmacy,59 Collins Avenue East,,,Killester,Dublin 5,Dab Pharmacy Limited,,"59 Collins Avenue East
Killester, Dublin 5"
7579,Burnett's Pharmacy,42 George's Street Lower,,,Dun Laoghaire,Co. Dublin,Genacon Limited,,"42 George's Street Lower
Dun Laoghaire, Co. Dublin"
7580,Claddagh Pharmacy,8 Father Griffin Road,,,Galway City,Co. Galway,Claddagh Pharmacy Limited,,"8 Father Griffin Road
Galway City, Co. Galway"
7582,Meagher's Pharmacy,"Unit 2, Ground Floor, Whitty Building","Mater Misercordiae University Hospital, North Circular Road",,,Dublin 7,Number 64 Seasonal Sales Limited,,"Unit 2, Ground Floor, Whitty Building
Mater Misercordiae University Hospital, North Circular Road
Dublin 7"
7583,Inish Pharmacy ,Railway Road,,,Buncrana ,Co. Donegal,Inish Health (Buncrana) Limited,,"Railway Road
Buncrana , Co. Donegal"
7584,McGorisk's Pharmacy ,8 John Broderick Street,,,Athlone,Co. Westmeath,Irishtown Pharmacy Limited,,"8 John Broderick Street
Athlone, Co. Westmeath"
7586,Peter Weedle Allcare Pharmacy ,63 Main Street,,,Mallow,Co. Cork,Barty Sullivans The Chemist Limited,,"63 Main Street
Mallow, Co. Cork"
7587,Peter Weedle Allcare Pharmacy ,Townview,Cork Road,,Mallow,Co. Cork,Townview Pharmacy Limited,,"Townview
Cork Road
Mallow, Co. Cork"
7588,Stratus Healthcare,Waterford Health Park,Slievekeale Road,,Waterford City,Co. Waterford,Waterford Health Park Pharmacy Limited,,"Waterford Health Park
Slievekeale Road
Waterford City, Co. Waterford"
7590,Kinvara Pharmacy,41 Kinvara Park,Navan Road,,Ashtown,Dublin 7,David King Pharmaceutical Limited,,"41 Kinvara Park
Navan Road
Ashtown, Dublin 7"
7591,Tarbert Allcare Pharmacy,Main Street,,,Tarbert,Co. Kerry,Oconodrug Limited,,"Main Street
Tarbert, Co. Kerry"
7592,Glin Allcare Pharmacy,Main Street,,,Glin,Co. Limerick,Oconodrug Limited,,"Main Street
Glin, Co. Limerick"
7595,Normoyle's Allcare Pharmacy,47 O'Connell Street,,,Ennis,Co. Clare,Noreen Normoyle's (Chemist) Limited,,"47 O'Connell Street
Ennis, Co. Clare"
7596,McGorisk's Pharmacy,The Crescent,Ballymahon Road,,Athlone,Co. Westmeath,McGorisk's Chemist Limited,,"The Crescent
Ballymahon Road
Athlone, Co. Westmeath"
7597,Ward's Pharmacy,5 Market Street,,,Monaghan Town,Co. Monaghan,Ward Chemists Limited,,"5 Market Street
Monaghan Town, Co. Monaghan"
7604,McDonnell's Pharmacy,Bridge Street,,,Strokestown,Co. Roscommon,Strokestown Pharmacy Limited,,"Bridge Street
Strokestown, Co. Roscommon"
7605,Prescription Centre,14 William Street,,,Limerick City,Co. Limerick,Prescription Centre Limited,,"14 William Street
Limerick City, Co. Limerick"
7606,Gurteen Pharmacy,Rathmadder,,,Gurteen,Co. Sligo,Enda Lannon Gurteen Limited,,"Rathmadder
Gurteen, Co. Sligo"
7607,Horgan's Pharmacy,South Main Street,,,Bandon,Co. Cork,BN Pharmacy Limited,,"South Main Street
Bandon, Co. Cork"
7608,Horgan's Pharmacy,Strand Street,,,Kanturk,Co. Cork,KT Pharmacy Limited,,"Strand Street
Kanturk, Co. Cork"
7609,Murphy's Pharmacy,129 North Main Street,,,Youghal,Co. Cork,Moughal Pharmacy Limited,,"129 North Main Street
Youghal, Co. Cork"
7610,Horgan's Pharmacy,Parkwest Shopping Centre,,,Mallow,Co. Cork,PW Pharmacy Limited,,"Parkwest Shopping Centre
Mallow, Co. Cork"
7611,Cleary's Pharmacy,33-34 Main Street,,,Skibbereen,Co. Cork,Hibbereen Pharmacy Limited,,"33-34 Main Street
Skibbereen, Co. Cork"
7613,Headford CarePlus Pharmacy,Unit 8 & 9,Church Road,,Headford,Co. Galway,Hollyseed Limited,,"Unit 8 & 9
Church Road
Headford, Co. Galway"
7614,First Choice Pharmacy,Instore Tesco,Distillery Road,,Wexford Town,Co. Wexford,First Choice Pharmacy Limited,,"Instore Tesco
Distillery Road
Wexford Town, Co. Wexford"
7615,First Choice Pharmacy,Instore Tesco,Wexford Road,,Arklow,Co. Wicklow,DMH Pharmacy Limited,,"Instore Tesco
Wexford Road
Arklow, Co. Wicklow"
7616,Trant's Pharmacy Limited,Unit 5-6 Listowel Shopping Centre,Convent Street,,Listowel,Co. Kerry,Trants Pharmacy Limited,,"Unit 5-6 Listowel Shopping Centre
Convent Street
Listowel, Co. Kerry"
7618,Sean Hillery (Pharmacists) Limited,32-33 Skycourt Shopping Centre,,,Shannon,Co. Clare,Sean Hillery (Pharmacists) Limited,,"32-33 Skycourt Shopping Centre
Shannon, Co. Clare"
7621,TCP,"15-16, Willow Business Park",Knockmitten Lane,,Clondalkin,Dublin 12,Temperature Controlled Pharmaceuticals Limited,,"15-16, Willow Business Park
Knockmitten Lane
Clondalkin, Dublin 12"
7622,Downey's Pharmacy,Unit 3,"Tesco Shopping Centre, Vevay Road",,Bray,Co. Wicklow,Pat Downey & Company Limited,,"Unit 3
Tesco Shopping Centre, Vevay Road
Bray, Co. Wicklow"
7623,Johnson Pharmacy,Supervalu Shopping Centre,Walkinstown Road,,Walkinstown,Dublin 12,Johnson Pharmacy Limited,,"Supervalu Shopping Centre
Walkinstown Road
Walkinstown, Dublin 12"
7624,Fitzgibbons totalhealth Pharmacy,34 Lower Cork Street,,,Mitchelstown,Co. Cork,Patrick Fitzgibbon Pharmacy Limited,,"34 Lower Cork Street
Mitchelstown, Co. Cork"
7625,Ratoath Pharmacy,Main Street,,,Ratoath,Co. Meath,Ratoath Pharmacy Limited,,"Main Street
Ratoath, Co. Meath"
7627,Drimnagh Pharmacy,125 Galtymore Road,,,Drimnagh,Dublin 12,Lou Pharmacy Limited,,"125 Galtymore Road
Drimnagh, Dublin 12"
7628,Limitless Health Pharmacy,"Unit 4b, Block 8",Northern Cross,,Malahide Road,Dublin 17,Limitless Health Limited,,"Unit 4b, Block 8
Northern Cross
Malahide Road, Dublin 17"
7629,O'Connor's Pharmacy,Pearse Street,,,Kinsale,Co. Cork,Queenpharm Limited,,"Pearse Street
Kinsale, Co. Cork"
7630,O'Connor's Pharmacy,Curraheen Road,,,Bishopstown,Co. Cork,Curraheen Medical Pharmacy Limited,,"Curraheen Road
Bishopstown, Co. Cork"
7631,McGreal's Pharmacy,Blessington Primary Care Centre,Blessington Business Park,,Blessington,Co. Wicklow,Blessington Pharmacy Limited,,"Blessington Primary Care Centre
Blessington Business Park
Blessington, Co. Wicklow"
7635,C & D Medical Hall,Water Street,,,Mohill,Co. Leitrim,C & D Medical Hall Limited,,"Water Street
Mohill, Co. Leitrim"
7640,Roscrea Pharmacy,Castle Street,,,Roscrea,Co. Tipperary,Roscrea Pharmacy,,"Castle Street
Roscrea, Co. Tipperary"
7643,McAuliffe's Pharmacy,93 Sandymount Road,,,Sandymount,Dublin 4,Jessvale Limited,,"93 Sandymount Road
Sandymount, Dublin 4"
7646,Riverchapel Pharmacy,Main Street,Riverchapel Villlage,,Gorey,Co. Wexford,Daraglen Limited,,"Main Street
Riverchapel Villlage
Gorey, Co. Wexford"
7647,Tallaght Cross Pharmacy,Unit C6 Russell Building,Tallaght Cross West,,Tallaght,Dublin 24,Lilyvale Limited,,"Unit C6 Russell Building
Tallaght Cross West
Tallaght, Dublin 24"
7648,Pure Pharmacy,Unit 4,Baker's Yard ,,Portland Street North,Dublin 1,Beggs Pharmacy Limited,,"Unit 4
Baker's Yard 
Portland Street North, Dublin 1"
7649,Lyons Family Pharmacy,43 McCurtain Street,,,Fermoy,Co. Cork,Lyor Limited ,,"43 McCurtain Street
Fermoy, Co. Cork"
7650,Kissane's Pharmacy,Main Street,,,Ballyhale,Co. Kilkenny,Ballyhale Pharmacy Limited,,"Main Street
Ballyhale, Co. Kilkenny"
7651,McDermott's Pharmacy,5 Main Street,,,Howth,Co. Dublin,Deacan Healthcare Limited,,"5 Main Street
Howth, Co. Dublin"
7652,McCauley Health & Beauty Pharmacy,Primary Care Centre,Rosanna Road,,Tipperary Town,Co. Tipperary,Sam McCauley Chemists (1034) Limited,,"Primary Care Centre
Rosanna Road
Tipperary Town, Co. Tipperary"
7654,Mulligan's Pharmacy,Abbeyalain Primary Care Centre,Moneen Road,,Castlebar,Co. Mayo,R.S.Eakin Ballina Limited,,"Abbeyalain Primary Care Centre
Moneen Road
Castlebar, Co. Mayo"
7655,Adrian Dunne Pharmacy,Units 1-2,Mountkennedy Town Centre,,Newtownmountkennedy,Co. Wicklow,NTMK Pharmacy Limited,,"Units 1-2
Mountkennedy Town Centre
Newtownmountkennedy, Co. Wicklow"
7656,Adrian Dunne Pharmacy,"Unit 2, Mount Usher Court",Main Street,,Ashford,Co. Wicklow,Ashford Pharmacy Limited,,"Unit 2, Mount Usher Court
Main Street
Ashford, Co. Wicklow"
7657,Mark's StayWell Pharmacy,27 Market Street,,,Ardee,Co. Louth,Red Door Pharmacy Limited,A92 W8HY,"27 Market Street
Ardee, Co. Louth A92 W8HY"
7658,Market Pharmacy Smithfield,Unit 8b,Thundercut Alley,,Smithfield,Dublin 7,Coleman & McSorley Limited,,"Unit 8b
Thundercut Alley
Smithfield, Dublin 7"
7664,McCabe's Pharmacy,24 Quinsboro Road,,,Bray,Co. Wicklow,Quinsboro Pharmacy Limited,,"24 Quinsboro Road
Bray, Co. Wicklow"
7665,Turners Cross Allcare Pharmacy,1 Ossory Place,Turners Cross,,Cork,Co. Cork,Evergreen Road Pharmacy Limited,,"1 Ossory Place
Turners Cross
Cork, Co. Cork"
7667,McNally's Pharmacy 365,Main Street,,,Mullagh,Co. Cavan,Mullagh McNally365 Limited,,"Main Street
Mullagh, Co. Cavan"
7668,Village Pharmacy,C/o Londis,Old School House,,Piercestown,Co. Wexford,B & T Healthcare Limited,,"C/o Londis
Old School House
Piercestown, Co. Wexford"
7671,Clarina Pharmacy,Clarina Village,,,Clarina,Co. Limerick,Jane Hanly Pharmacy Limited,,"Clarina Village
Clarina, Co. Limerick"
7672,Coffey's Allcare Pharmacy,Castle Street,,,Roscrea,Co. Tipperary,P Coffey Chemist (Roscrea) Limited,,"Castle Street
Roscrea, Co. Tipperary"
7673,Whelan's Pharmacy,,Main Street,,Dunlavin,Co. Wicklow,Dunlavin Pharmacy Limited,,"Main Street
Dunlavin, Co. Wicklow"
7674,Sloan's Pharmacy,Castle Street,,,Castleconnell,Co. Limerick,Bridgelake Ventures Limited,,"Castle Street
Castleconnell, Co. Limerick"
